date,n_assets,assets,turnover,transaction_cost,expected_return,volatility,sharpe_ratio,sortino_ratio,weights_sum
2023-01-03,15,"{'AAPL': 0.2081, 'MSFT': 0.0379, 'GOOGL': 0.0141, 'NVDA': 0.1683, 'META': 0.0094, 'TSLA': 0.066, 'JPM': 0.0469, 'UNH': 0.0614, 'WMT': 0.1675, 'XOM': 0.0094, 'PG': 0.0529, 'HD': 0.021, 'MRK': 0.0624, 'ABBV': 0.0653, 'PEP': 0.0094}",0.1665,0.000333,24.393,22.669,0.8996,1.1105,1.0
2023-02-01,15,"{'AAPL': 0.173, 'MSFT': 0.0472, 'NVDA': 0.1436, 'META': 0.0088, 'TSLA': 0.0439, 'JPM': 0.0571, 'V': 0.0144, 'UNH': 0.0562, 'JNJ': 0.0203, 'WMT': 0.1677, 'PG': 0.069, 'MA': 0.0431, 'CVX': 0.0184, 'MRK': 0.0734, 'ABBV': 0.0638}",0.1432,0.000286,22.461,21.209,0.8704,1.0603,1.0
2023-03-01,15,"{'AAPL': 0.181, 'MSFT': 0.061, 'GOOGL': 0.0089, 'NVDA': 0.1893, 'META': 0.0089, 'TSLA': 0.1025, 'JPM': 0.0471, 'UNH': 0.021, 'JNJ': 0.0259, 'WMT': 0.168, 'PG': 0.0761, 'CVX': 0.0118, 'MRK': 0.0501, 'ABBV': 0.0395, 'PEP': 0.0089}",0.1568,0.000314,25.756,23.902,0.9102,1.1442,1.0
2023-04-03,15,"{'AAPL': 0.1959, 'MSFT': 0.0689, 'GOOGL': 0.0172, 'AMZN': 0.0223, 'NVDA': 0.157, 'META': 0.0098, 'TSLA': 0.1022, 'JPM': 0.0289, 'UNH': 0.0221, 'JNJ': 0.0213, 'WMT': 0.1994, 'PG': 0.0438, 'CVX': 0.03, 'MRK': 0.0499, 'ABBV': 0.0314}",0.105,0.00021,25.193,23.625,0.8971,1.1257,1.0
2023-05-01,13,"{'AAPL': 0.1629, 'MSFT': 0.0303, 'GOOGL': 0.0191, 'NVDA': 0.1821, 'TSLA': 0.0899, 'JPM': 0.0432, 'UNH': 0.0615, 'WMT': 0.1735, 'PG': 0.0403, 'CVX': 0.0238, 'MRK': 0.0542, 'ABBV': 0.0631, 'PEP': 0.0562}",0.1729,0.000346,24.512,22.934,0.8944,1.1046,1.0
2023-06-01,15,"{'AAPL': 0.1526, 'MSFT': 0.0709, 'AMZN': 0.0087, 'NVDA': 0.1765, 'TSLA': 0.0965, 'JPM': 0.0327, 'V': 0.0087, 'UNH': 0.0177, 'WMT': 0.1926, 'XOM': 0.0432, 'PG': 0.0701, 'MA': 0.0087, 'MRK': 0.0383, 'ABBV': 0.0504, 'PEP': 0.0323}",0.1656,0.000331,24.949,23.1,0.9069,1.1295,1.0
2023-07-03,14,"{'AAPL': 0.1883, 'MSFT': 0.0624, 'GOOGL': 0.0093, 'NVDA': 0.1767, 'META': 0.0096, 'TSLA': 0.0802, 'JPM': 0.0202, 'UNH': 0.0517, 'WMT': 0.1646, 'PG': 0.0659, 'CVX': 0.0212, 'MRK': 0.0747, 'ABBV': 0.0658, 'PEP': 0.0093}",0.1618,0.000324,24.907,23.02,0.9082,1.1302,1.0
2023-08-01,14,"{'AAPL': 0.189, 'MSFT': 0.0371, 'GOOGL': 0.022, 'NVDA': 0.1907, 'TSLA': 0.0677, 'JPM': 0.0403, 'V': 0.0149, 'UNH': 0.042, 'WMT': 0.1828, 'PG': 0.0729, 'HD': 0.0204, 'MRK': 0.0657, 'ABBV': 0.0409, 'PEP': 0.0136}",0.1124,0.000225,25.02,23.035,0.9125,1.1386,1.0
2023-09-01,14,"{'AAPL': 0.1589, 'MSFT': 0.0398, 'GOOGL': 0.0084, 'AMZN': 0.0236, 'NVDA': 0.1747, 'TSLA': 0.0594, 'JPM': 0.0639, 'V': 0.0084, 'UNH': 0.0689, 'WMT': 0.1496, 'PG': 0.0545, 'MRK': 0.0834, 'ABBV': 0.0607, 'PEP': 0.0459}",0.1466,0.000293,23.633,22.112,0.8879,1.0913,1.0
2023-10-02,15,"{'AAPL': 0.1847, 'MSFT': 0.0504, 'AMZN': 0.0168, 'NVDA': 0.1873, 'TSLA': 0.0986, 'JPM': 0.0332, 'V': 0.009, 'UNH': 0.0259, 'JNJ': 0.0175, 'WMT': 0.191, 'PG': 0.0544, 'MA': 0.0096, 'HD': 0.0101, 'MRK': 0.0377, 'ABBV': 0.0738}",0.1805,0.000361,25.912,23.853,0.9187,1.1573,1.0
